Wavelength in Air, Laser Power, # Photons
nm, mW, n
                         697.0,                     0.00211245,         7.412120844593901e+24
                         698.0,                     0.00164304,         5.773336005668172e+24
                         699.0,                     0.00117314,        4.1281008020538726e+24
                         700.0,                     0.00204875,         7.219552542279644e+24
                         701.0,                      0.0020294,         7.161581668572071e+24
                         702.0,                     0.00199849,         7.062563513832304e+24
                         703.0,                     0.00172062,         6.089246659945216e+24
                         704.0,                     0.00234717,         8.318413016317552e+24
                         705.0,                     0.00199675,         7.086570058294639e+24
                         706.0,                     0.00190159,         6.758415073110591e+24
                         707.0,                     0.00297191,        1.0577385722945973e+25
                         708.0,                     0.00156477,         5.577082176212469e+24
                         709.0,                     0.00183433,         6.547069918417008e+24
                         710.0,                     0.00146988,         5.253678642029574e+24
                         711.0,                     0.00156418,         5.598602118754986e+24
                         712.0,                    0.000860634,        3.0847627483397034e+24
                         713.0,                     0.00211245,         7.582269960108252e+24
                         714.0,                     0.00125134,        4.4977655525668504e+24
                         715.0,                     0.00155317,         5.590469855693277e+24
                         716.0,                     0.00168929,         6.088923368973881e+24
                         717.0,                     0.00168014,         6.064400877895973e+24
                         718.0,                     0.00195525,         7.067242825941848e+24
                         719.0,                     0.00175746,         6.361178969111123e+24
                         720.0,                     0.00179775,         6.516059910869643e+24
                         721.0,                      0.0019031,         6.907488154488719e+24
                         722.0,                     0.00187701,         6.822241027212742e+24
                         723.0,                    0.000782407,         2.847700421106921e+24
                         724.0,                    0.000704181,         2.566528811388907e+24
                         725.0,                     0.00187113,         6.829127849814967e+24
                         726.0,                    0.000782111,         2.858434793895009e+24
                         727.0,                     0.00185368,          6.78410326424023e+24
                         728.0,                     0.00196047,         7.184802840495665e+24
                         729.0,                     0.00195525,         7.175515348344857e+24
                         730.0,                     0.00305131,        1.1213274849459992e+25
                         731.0,                     0.00203422,         7.485806065816096e+24
                         732.0,                     0.00383367,        1.4126971930734908e+25
                         733.0,                     0.00312835,        1.1543634979101895e+25
                         734.0,                      0.0023547,          8.70071450713049e+24
                         735.0,                       0.002567,         9.498094420907108e+24
                         736.0,                     0.00273169,        1.0121211540406752e+25
                         737.0,                     0.00250268,         9.285303115523162e+24
                         738.0,                     0.00306102,        1.1372234432529243e+25
                         739.0,                     0.00339335,        1.2623982086425997e+25
                         740.0,                     0.00355524,        1.3244144733204265e+25
                         741.0,                     0.00539639,        2.0130048055386833e+25
                         742.0,                     0.00413351,         1.543996006676297e+25
